id_resultat,id_resultat_source,source,id_athlete_base_resultats,id_personne,athlete_nom,athlete_prenom,id_equipe,equipe_en,id_pays,pays_en_base_resultats,classement_epreuve,performance_finale_texte,performance_finale,id_evenement,evenement,evenement_en,categorie_age,id_edition,id_competition_sport,competition_en,id_type_competition,type_competition,edition_saison,date_debut_edition,date_fin_edition,id_ville_edition,edition_ville_en,id_nation_edition_base_resultats,edition_nation_en,id_sport,sport,sport_en,id_discipline_administrative,discipline_administrative,id_specialite,specialite,id_epreuve,epreuve,epreuve_genre,epreuve_type,est_epreuve_individuelle,est_epreuve_olympique,est_epreuve_ete,est_epreuve_handi,epreuve_sens_resultat,id_federation,federation,federation_nom_court,dt_creation,dt_modification
10125456,52799213,infostrada,4797388.0,-1.0,REITZ,Christian,91640,Germany,87,Germany,5.0,18,18000.0,556519,25m Rapid Fire Pistol - Men,25m Rapid Fire Pistol - Men,Senior,35894,444,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,66,Tir,Shooting,137,Pistolet,217,25 mètres,224,25m Pistolet tir rapide - Hommes,Hommes,Individuel,1,1,1,0,1,67,Fédération Française de Tir,TIR,2024-06-07 14:48:22.793,2025-03-16 02:08:20.147
10125782,52686948,infostrada,4768043.0,-1.0,KISHI,Daiki,89927,Japan,118,Japan,7.0,57.815,57815.0,647628,Individual Trampoline - Men,Individual Trampoline - Men,Senior,35912,243,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,39,Gymnastique - Trampoline,Gymnastics - Trampolining,42,Trampoline,88,Trampoline,567,Trampoline Individuel - Hommes,Hommes,Individuel,1,1,1,0,1,28,Fédération Française de Gymnastique,GYMNASTIQUE,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10126424,34495304,infostrada,4939339.0,-1.0,KAMARA,Osman,92977,Sierra Leone,199,Sierra Leone,73.0,26.90,26900.0,535462,50m Freestyle - Men,50m Freestyle - Men,Senior,30060,301,Olympic Games,1,JO été,2016,2016-08-05,2016-08-21,1145,Rio de Janeiro,53,Brazil,65,Natation,Swimming,355,Natation course,150,Natation course bassin de 50m,331,50m Nage libre - Hommes,Hommes,Individuel,1,1,1,0,0,44,Fédération Française de Natation,NATATION,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10293821,709662635,infostrada,203937.0,-1.0,GRAF,Bernadette,12037,Austria,14,Austria,9.0,,,410205,78kg - Women,78kg - Women,Senior,35887,432,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,61,Judo,Judo,68,Judo,112,Judo,941,78kg - Femmes,Femmes,Individuel,1,1,1,0,0,36,Fédération Française de Judo-Jujitsu Kendo et Disciplines Associées,JUDO,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10293857,52677290,infostrada,4797166.0,-1.0,COPELLO,Yasmani,97543,Türkiye,226,Turkey,6.0,47.81,47810.0,557857,400m Hurdles - Men,400m Hurdles - Men,Senior,35870,413,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,28,Athlétisme,Athletics,251,Athlétisme disciplines olympiques,12,Haies,445,400m Haies - Hommes,Hommes,Individuel,1,1,1,0,0,9,Fédération Française d'Athlétisme,ATHLETISME,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
10294049,704845883,infostrada,388072.0,-1.0,LV,Bin,10228,China,46,China,9.0,,,404703,Light Flyweight - Men,Light Flyweight - Men,Senior,32732,70,Olympic Games,1,JO été,2016,2016-08-05,2016-08-21,1145,Rio de Janeiro,53,Brazil,60,Boxe,Boxing,360,Boxe anglaise,37,Boxe anglaise,889500,Poids mi-mouche - Hommes (49kg),Hommes,Individuel,1,0,1,0,0,17,Fédération Française de Boxe,BOXE,2024-06-07 14:48:22.793,2025-03-16 02:08:20.147
10294482,40323124,infostrada,4829420.0,-1.0,HOFER,Lukas,92341,Italy,113,Italy,10.0,24:09.8,1449800.0,553792,10km Sprint - Men,10km Sprint - Men,Senior,33827,88,Olympic Games,2,JO Hiver,2018,2018-02-09,2018-02-25,1088,Pyeongchang,162,Korea,41,Biathlon,Biathlon,109,Biathlon,246,Biathlon,531,Sprint 10km - Hommes,Hommes,Individuel,1,1,0,0,0,58,Fédération Française de Ski,SKI,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
10294658,709661935,infostrada,293746.0,-1.0,VERWIJLEN,Bas,12411,Netherlands,161,Netherlands,9.0,,,416392,Individual Epee - Men,Individual Epee - Men,Senior,35893,81,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,33,Escrime,Fencing,33,Epée,66,Epée,503,Individuel Épée - Hommes,Hommes,Individuel,1,1,1,0,1,82,Fédération Française d'Escrime,ESCRIME,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10294707,404339213,infostrada,,,,,163357,Roos/Fil Rouge,20,Belgium,23.0,70.699,70699.0,645892,Individual - Open,Individual - Open,Senior,35903,226,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,2,Equitation - Dressage,Equestrian - Dressage,29,Dressage,352,Dressage,6795,Individuel Dressage - Open,Open,Double,0,1,1,0,1,76,Fédération française d'Equitation,EQUITATION,2024-06-07 14:48:22.793,2024-10-02 03:00:57.673
10294796,404337097,infostrada,,,,,147260,Oishi/Tomita,118,Japan,10.0,6:54.94,414940.0,556484,Lightweight Double Sculls - Women,Lightweight Double Sculls - Women,Senior,35888,315,Olympic Games,1,JO été,2020,2021-07-23,2021-08-08,785,Tokyo,59,Japan,15,Aviron,Rowing,8,Aviron,25,Aviron,6573,Deux de couple - Poids léger Femmes,Femmes,Equipe,0,1,1,0,0,79,Fédération Française d'Aviron,AVIRON,2024-06-07 14:48:22.793,2025-03-31 03:07:57.530
